"Timestamp","What are your threads? (Pick 2)","CS Course difficulty [CS 1301 (Intro to programming)]","CS Course difficulty [CS 1331 (Intro to Object Oriented)]","CS Course difficulty [CS 1332 (Data structures & Algs)]","CS Course difficulty [CS 2050 (Discrete Math, or 1050)]","CS Course difficulty [CS 2051 (Honors Discrete math)]","CS Course difficulty [CS 2110 (Leahy's Class)]","CS Course difficulty [CS 2200 (Intro to Sys and Network)]","CS Course difficulty [CS 2261 (Leahy's class for CM)]","CS Course difficulty [CS 2340 (Objects and Design)]","CS Course difficulty [CS 3210 (Operating Systems)]","CS Course difficulty [CS 3220 (Processor Design)]","CS Course difficulty [CS 3240 (Languages and Computation)]","CS Course difficulty [CS 3251 (Networking One)]","CS Course difficulty [CS 3451 (Computer Graphics)]","CS Course difficulty [CS 3510 (Algorithms)]","CS Course difficulty [CS 3511 (Honors Algorithms)]","CS Course difficulty [CS 3600 (Intro AI)]","CS Course difficulty [CS 3630 (Robotics and Perception)]","CS Course difficulty [CS 3651 (Prototyping Intelligent Devices)]","CS Course difficulty [CS 3750 (UI design)]","CS Course difficulty [CS 4001 (Ethics)]","CS Course difficulty [CS 4002 (Robotic Ethics)]","CS Course difficulty [CS 4210 (Advanced OS)]","CS Course difficulty [CS 4220 (Embedded Systems)]","CS Course difficulty [CS 4235 (Intro Infosec)]","CS Course difficulty [CS 4240 (Compilers and Interpreters)]","CS Course difficulty [CS 4251 (Networking Two)]","CS Course difficulty [CS 4261 (Mobile Apps & Services)]","CS Course difficulty [CS 4290 (Advanced Computer Org)]","CS Course difficulty [CS 4400 (Databases)]","CS Course difficulty [CS 4420 (Database Implementation)]","CS Course difficulty [CS 4460 (Intro infoviz)]","CS Course difficulty [CS 4464 (Computational journalism)]","CS Course difficulty [CS 4475 (Computational Photography)]","CS Course difficulty [CS 4476 (Computer Vision)]","CS Course difficulty [CS 4496 (Computer Animation)]","CS Course difficulty [CS 4510 (Automata & Complexity)]","CS Course difficulty [CS 4540 (Advanced Algs)]","CS Course difficulty [CS 4590 (Computer Audio)]","CS Course difficulty [CS 4605 (Mobi/Ubicomp)]","CS Course difficulty [CS 4635 (KBAI)]","CS Course difficulty [CS 4641 (Machine Learning)]","CS Course difficulty [CS 4650 (NLP)]","CS Course difficulty [CS 4660 (Educational Tech)]","CS Course difficulty [CS 4675 (Internet Systems)]","CS Course difficulty [CS 4731 (Game AI)]","CS Course difficulty [CS 4770 (Mixed Reality Design)]","CS Course difficulty [Junior/Senior Design (3311 or 4911)]","CS Course difficulty [Undergraduate Research]","Core Course difficulty [ENGL 1101]","Core Course difficulty [ENGL 1102]","Core Course difficulty [Calculus 1]","Core Course difficulty [Calculus 2]","Core Course difficulty [Calculus 3 for CS]","Core Course difficulty [Intro Physics]","Core Course difficulty [Intro Chemistry]","Core Course difficulty [Intro Biology]","Core Course difficulty [Intro EAS]"
"2016/02/26 6:50:31 PM EST","People;Info & Internetworks","","Average","Difficult","Average","Average","Difficult","Difficult","","","","","","","","","","","","","","","","","","","","","","","Average","","","","","","","","","","","","","","","","","","","","Very Easy","Very Easy","Nearly Impossible","Difficult","Difficult","Average","Average","",""
"2016/02/26 6:56:37 PM EST","Systems & Architecture;Info & Internetworks","Very Easy","Pretty Easy","Average","Average","Average","Average","Difficult","","Pretty Easy","","Difficult","","","","Difficult","Nearly Impossible","","","","","","","","","","Average","","","Difficult","Pretty Easy","","Average","","","","","","","","","","","","","","","","Nearly Impossible","","","","","","","","","",""
"2016/02/26 7:02:38 PM EST","Intelligence;People","Very Easy","Very Easy","Pretty Easy","","","Average","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very Easy","Very Easy","Pretty Easy","Average","","","","","Very Easy"
"2016/02/26 7:12:44 PM EST","Info & Internetworks;Devices","Very Easy","Pretty Easy","Nearly Impossible","Nearly Impossible","","Average","Difficult","","Nearly Impossible","","","","Average","","Nearly Impossible","","","Pretty Easy","Difficult","","Very Easy","","","","Nearly Impossible","","","","","","","","","","","","","","","","","","","","","","","","","Very Easy","Very Easy","Average","Difficult","Nearly Impossible","","","","Very Easy"
"2016/02/26 7:15:07 PM EST","Intelligence;Info & Internetworks","","Average","Difficult","Pretty Easy","","Difficult","Difficult","","Pretty Easy","","","","Pretty Easy","","Nearly Impossible","","Difficult","","","","Pretty Easy","","","","","","","","","Pretty Easy","","","","","","","","","","","","Average","","","","","","Pretty Easy","","Pretty Easy","Pretty Easy","Average","Average","Average","Average","","","Pretty Easy"
"2016/02/26 7:30:16 PM EST","Info & Internetworks;Devices","Pretty Easy","Difficult","Difficult","Average","Nearly Impossible","Nearly Impossible","Average","","Very Easy","","","","Nearly Impossible","","Nearly Impossible","Nearly Impossible","","Pretty Easy","Pretty Easy","","Very Easy","","","","Very Easy","Pretty Easy","","Very Easy","","Pretty Easy","","","","","","","","","","","","","","","","","","Very Easy","","Very Easy","Very Easy","Very Easy","Pretty Easy","Pretty Easy","Difficult","Nearly Impossible","Difficult","Very Easy"
"2016/02/26 7:56:41 PM EST","Intelligence;Info & Internetworks","Pretty Easy","Average","Average","Pretty Easy","","Difficult","Difficult","","Pretty Easy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Average","Pretty Easy","Pretty Easy","Pretty Easy","Pretty Easy","Difficult","Pretty Easy","Pretty Easy","",""
"2016/02/26 7:56:46 PM EST","Systems & Architecture;Media","Very Easy","Very Easy","Pretty Easy","Pretty Easy","Pretty Easy","Average","Average","Pretty Easy","Pretty Easy","Difficult","Average","Nearly Impossible","Average","Average","Difficult","Difficult","","","","Very Easy","Average","Average","","","Average","","","Pretty Easy","Difficult","Average","","","","","","","","","","","","","","","","","","Average","","","","","","","Difficult","","",""
"2016/02/26 8:18:56 PM EST","Media;People","Very Easy","Pretty Easy","Difficult","Average","","Difficult","","","Pretty Easy","","","","","Difficult","","","","","","Average","Very Easy","","","","","","","","","Average","","","Pretty Easy","","","Difficult","","","Average","","","","","Average","","","","Pretty Easy","Average","Very Easy","Very Easy","Very Easy","Pretty Easy","Average","Difficult","Difficult","",""
"2016/02/26 8:47:54 PM EST","Info & Internetworks;Theory","Very Easy","Very Easy","Very Easy","Pretty Easy","","Pretty Easy","Pretty Easy","","Pretty Easy","Difficult","","Difficult","Average","Average","Pretty Easy","","Pretty Easy","","Average","","Very Easy","","Difficult","","","","","","Pretty Easy","Very Easy","Average","","","","Average","","Difficult","Difficult","","","","Difficult","","","","","","","","","Very Easy","","","","Very Easy","","","Very Easy"
"2016/02/26 8:59:19 PM EST","Media;People","","Pretty Easy","","","","Difficult","","","Very Easy","","","","","Nearly Impossible","","","","","","Pretty Easy","","","","","","","","","","","","Average","","","","Nearly Impossible","","","Average","","","","","","","","","Average","","Pretty Easy","Pretty Easy","Pretty Easy","Difficult","Difficult","Average","Difficult","",""
"2016/02/26 9:04:01 PM EST","Systems & Architecture;Theory","","Pretty Easy","Pretty Easy","Pretty Easy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pretty Easy","Difficult","Very Easy","","","","Pretty Easy","","",""
"2016/02/26 9:05:38 PM EST","People;Info & Internetworks","","Very Easy","Pretty Easy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very Easy","","Average","Difficult","","","",""
"2016/02/26 9:24:52 PM EST","Intelligence;Info & Internetworks","Very Easy","Pretty Easy","Average","Very Easy","","Average","Average","","Very Easy","Average","","","","","Average","","Average","","","","Pretty Easy","","","","Pretty Easy","","","Pretty Easy","","Pretty Easy","","","","","","","Average","","","","","Difficult","","","","Average","","Pretty Easy","","Very Easy","Pretty Easy","Pretty Easy","Pretty Easy","Pretty Easy","Pretty Easy","Average","","Pretty Easy"
"2016/02/26 9:29:49 PM EST","Intelligence;Modeling & Simulation","Very Easy","Average","Average","Average","","Difficult","Nearly Impossible","","Pretty Easy","","","","","","Average","","Difficult","","","","Average","","","","","","","","","","","","","","Average","","Difficult","","","","","Difficult","","","","","","","","","","","","","","","",""
"2016/02/26 11:14:17 PM EST","Systems & Architecture;Theory","","Pretty Easy","Pretty Easy","","Difficult","Pretty Easy","Average","","Pretty Easy","Difficult","Difficult","","Average","","","Difficult","","","","","","","","","Very Easy","","","","","","","","","","","","","Average","","","","","","","","","","","","Pretty Easy","Pretty Easy","","","","","","",""
"2016/02/26 11:29:57 PM EST","Media;Theory","Difficult","Difficult","Average","Pretty Easy","","Nearly Impossible","","","Pretty Easy","","","","","Difficult","Average","","","","","","","","","","","","","","","","","","","","","Difficult","Average","Average","","","","","","","","","","Average","Difficult","Average","Average","Pretty Easy","Difficult","Average","Nearly Impossible","","","Average"
"2016/02/26 11:33:23 PM EST","People;Info & Internetworks","Very Easy","Pretty Easy","Pretty Easy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very Easy","Very Easy","Very Easy","Very Easy","Very Easy","Very Easy","Very Easy","Very Easy","Very Easy"
"2016/02/27 12:22:22 AM EST","Intelligence;Modeling & Simulation","","Pretty Easy","Average","","Difficult","Difficult","","","Very Easy","","","","","","","Difficult","Pretty Easy","","","","","","","","","","","","","","","","","","","","","","","","","Average","","","","","","","","Pretty Easy","Pretty Easy","Very Easy","Very Easy","","","Average","Average",""
"2016/02/27 12:37:29 AM EST","Modeling & Simulation;Theory","","Very Easy","Pretty Easy","Pretty Easy","","Difficult","","","Very Easy","","","","","","Average","","","","","","","","","","","","","","","","","","","","","","Difficult","Difficult","","","","","","","","","","","Difficult","Very Easy","Very Easy","","","","Average","","",""
"2016/02/27 12:47:20 AM EST","Systems & Architecture;Info & Internetworks","Pretty Easy","Average","Average","Average","","Difficult","Difficult","","Pretty Easy","","Average","","Difficult","","Difficult","","","","","","","","","","","","","","","Average","","","","","","","","","Difficult","","","","","","","","","Pretty Easy","","Average","Average","Pretty Easy","Difficult","Difficult","Difficult","Average","",""
